method	n_clusters	coverage	size_median	size_max	compactness	nearest	gap	seconds
CURRENT (HDBSCAN in 2D)	183	0.7375674056321151	18	69	0.7970762987241974	0.9399294270493705	-0.14285312832517316	nan
HDBSCAN raw mcs=5 ms=1 eom	37	0.25564210105851803	7	818	0.9019189773265166	0.8333990512586404	0.06851992606787616	0.48296012799983146
HDBSCAN raw mcs=5 ms=1 leaf	52	0.09646494907130021	7	44	0.8961895839675096	0.8689809008067315	0.02720868316077807	0.4740714649997244
HDBSCAN raw mcs=10 ms=1 eom	11	0.2294787297783104	14	818	0.9033921549057381	0.8268122914939847	0.07657986341175338	0.42455310500008636
HDBSCAN centered mcs=5 ms=1 eom	78	0.31515877771120426	7	824	0.8887882457279386	0.8285793071910951	0.060208938536843504	0.49560221300089324
HDBSCAN centered mcs=5 ms=1 leaf	95	0.15298581985220694	7	24	0.8762034458326563	0.8475840774009428	0.028619368431713532	0.43255325599966454
HDBSCAN centered mcs=10 ms=1 eom	19	0.2776113441182345	20	824	0.8818264229068827	0.8356953614723027	0.04613106143458001	0.4680717100000038
k-means raw k=20	20	1.0	237	574	0.7729390987027557	0.9246323255341953	-0.1516932268314396	2.7757686729983106
k-means raw k=50	50	1.0	86	332	0.7862355120835298	0.9250492034817738	-0.13881369139824395	5.596120684998823
k-means raw k=100	100	1.0	42	277	0.7961642539269582	0.9199291727421623	-0.12376491881520413	5.921710099999473
k-means raw k=150	150	1.0	25	245	0.8025939326454696	0.904568516518859	-0.10197458387338931	8.088138892000643
k-means centered k=20	20	1.0	229	531	0.7727787262532352	0.9306492947244948	-0.15787056847125958	3.4845952940013376
k-means centered k=50	50	1.0	92	249	0.7859891198713308	0.927272130206234	-0.1412830103349032	4.517369637998854
k-means centered k=100	100	1.0	44	241	0.7967189322892488	0.9204288519924596	-0.12370991970321077	5.200621702999342
k-means centered k=150	150	1.0	29	195	0.8031538924731604	0.9197263215564819	-0.11657242908332155	7.666408318998947
agglomerative centered k=20	20	1.0	93	1197	0.7554927314888588	0.8945120421848417	-0.13901931069598294	4.694437111000298
agglomerative centered k=50	50	1.0	24	944	0.7672951083664103	0.8776924917768081	-0.11039738341039773	4.6093291960005445
agglomerative centered k=100	100	1.0	14	944	0.7806018967822915	0.8588304449194285	-0.07822854813713698	4.618466408001041
agglomerative centered k=150	150	1.0	8	859	0.7890744128753107	0.8426813418624426	-0.05360692898713193	4.4546680849998666
