min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	78	3429	0.6848412222887957	5	7	824	0.8887882457279386	0.8285793071910951	0.4821456459994806
5	1	leaf	0.0	95	4241	0.8470141801477931	5	7	24	0.8762034458326563	0.8475840774009428	0.46686298600070586
5	2	eom	0.0	78	3429	0.6848412222887957	5	7	824	0.8887882457279386	0.8285793071910951	0.49634259800041036
5	2	leaf	0.0	95	4241	0.8470141801477931	5	7	24	0.8762034458326563	0.8475840774009428	0.45107483599895204
5	5	eom	0.0	12	3787	0.7563411224286	5	16	819	0.8879875983477522	0.7744614617171025	0.4310152449997986
5	5	leaf	0.0	22	4723	0.9432794088276413	5	8	30	0.8950431561995565	0.8338146878903084	0.44025419399986276
10	1	eom	0.0	19	3617	0.7223886558817655	10	20	824	0.8818264229068827	0.8356953614723027	0.4385176750001847
10	1	leaf	0.0	26	4448	0.8883563011783503	10	17	68	0.8626934331425328	0.868339583410664	0.4271267670010275
10	2	eom	0.0	19	3617	0.7223886558817655	10	20	824	0.8818264229068827	0.8356953614723027	0.4396164369991311
10	2	leaf	0.0	26	4448	0.8883563011783503	10	17	68	0.8626934331425328	0.868339583410664	0.423864358001083
10	5	eom	0.0	7	3730	0.7449570601158378	15	21	819	0.8804645691257859	0.7383422466355587	0.4231096460007393
10	5	leaf	0.0	11	4698	0.9382863990413421	11	21	82	0.8598921009214202	0.8193219730876499	0.43496938699900056
15	1	eom	0.0	13	3762	0.7513481126423007	20	26	824	0.8921243330071335	0.8122577069256499	0.44413167300081113
15	1	leaf	0.0	16	4450	0.8887557419612543	20	26	94	0.8632161942803535	0.8584825122199546	0.46342077199915366
15	2	eom	0.0	13	3762	0.7513481126423007	20	26	824	0.8921243330071335	0.8122577069256499	0.4439487340005144
15	2	leaf	0.0	16	4450	0.8887557419612543	20	26	94	0.8632161942803535	0.8584825122199546	0.461672997000278
15	5	eom	0.0	7	3730	0.7449570601158378	15	21	819	0.8804645691257859	0.7383422466355587	0.4491573109989986
15	5	leaf	0.0	10	4709	0.9404833233473138	15	23	82	0.8557029032950623	0.804820659807497	0.42286934799994924
20	1	eom	0.0	13	3762	0.7513481126423007	20	26	824	0.8921243330071335	0.8122577069256499	0.44992539300073986
20	1	leaf	0.0	16	4450	0.8887557419612543	20	26	94	0.8632161942803535	0.8584825122199546	0.42374692100020184
20	2	eom	0.0	13	3762	0.7513481126423007	20	26	824	0.8921243330071335	0.8122577069256499	0.4377277010007674
20	2	leaf	0.0	16	4450	0.8887557419612543	20	26	94	0.8632161942803535	0.8584825122199546	0.4316195770006743
20	5	eom	0.0	4	3781	0.7551428000798882	21	193	819	0.8831750991635804	0.759346530235661	0.4388215510007285
20	5	leaf	0.0	7	4760	0.9506690633113641	21	27	82	0.8640440566107264	0.854357655736161	0.46848788800161856
30	1	eom	0.0	4	3768	0.7525464349910126	95	160	824	0.885321178932358	0.7939137490986355	0.4255005560007703
30	1	leaf	0.0	6	4585	0.9157179948072698	40	69	103	0.8471746170957518	0.8972167035721638	0.4508866769992892
30	2	eom	0.0	4	3768	0.7525464349910126	95	160	824	0.885321178932358	0.7939137490986355	0.443499425000482
30	2	leaf	0.0	6	4585	0.9157179948072698	40	69	103	0.8471746170957518	0.8972167035721638	0.4758541510000214
30	5	eom	0.0	3	3802	0.7593369283003795	82	304	819	0.8840591699815233	0.7621864033573534	0.42561066300004313
30	5	leaf	0.0	4	3984	0.7956860395446375	32	86	819	0.9055074882610716	0.7702097884288444	0.43697447599879524
