min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	37	3727	0.744357898941482	5	7	818	0.9019189773265166	0.8333990512586404	0.4543855550000444
5	1	leaf	0.0	52	4524	0.9035350509286998	5	7	44	0.8961895839675096	0.8689809008067315	0.42511141799877805
5	2	eom	0.0	37	3727	0.744357898941482	5	7	818	0.9019189773265166	0.8333990512586404	0.4245531739998114
5	2	leaf	0.0	52	4524	0.9035350509286998	5	7	44	0.8961895839675096	0.8689809008067315	0.43294142599916086
5	5	eom	0.0	10	3991	0.7970840822848013	5	7	817	0.9134248528217179	0.7844281626004487	0.4301289699997142
5	5	leaf	0.0	14	4861	0.9708408228480128	5	7	25	0.9255726459467819	0.8402781940856443	0.45629441299934115
10	1	eom	0.0	11	3858	0.7705212702216896	10	14	818	0.9033921549057381	0.8268122914939847	0.4265004129993031
10	1	leaf	0.0	15	4673	0.9332933892550429	10	16	44	0.8997045384410447	0.8684769065239113	0.42651915599890344
10	2	eom	0.0	11	3858	0.7705212702216896	10	14	818	0.9033921549057381	0.8268122914939847	0.4307898089991795
10	2	leaf	0.0	15	4673	0.9332933892550429	10	16	44	0.8997045384410447	0.8684769065239113	0.4199052020012459
10	5	eom	0.0	3	4035	0.8058717795086878	25	130	817	0.9140580994806415	0.764678682294852	0.42434622600012517
10	5	leaf	0.0	4	4811	0.9608548032754144	19	23	130	0.8794337646904119	0.8869257487710694	0.42267053199975635
10	10	eom	0.0	3	4009	0.8006790493309367	13	157	828	0.9109986505203751	0.7683257258791761	0.43784202999995614
10	10	leaf	0.0	4	4814	0.9614539644497703	10	13	157	0.8639802722275285	0.8860305156207815	0.42363509599999816
15	1	eom	0.0	5	3930	0.7849011384062313	16	44	818	0.9057800567049599	0.773256597053447	0.4286458770002355
15	1	leaf	0.0	8	4757	0.9500699021370081	16	32	44	0.9055546957295407	0.8760311609141493	0.42284911599927
15	2	eom	0.0	5	3930	0.7849011384062313	16	44	818	0.9057800567049599	0.773256597053447	0.4274285339997732
15	2	leaf	0.0	8	4757	0.9500699021370081	16	32	44	0.9055546957295407	0.8760311609141493	0.46300490199973865
15	5	eom	0.0	3	4035	0.8058717795086878	25	130	817	0.9140580994806415	0.764678682294852	0.4655834679997497
15	5	leaf	0.0	4	4811	0.9608548032754144	19	23	130	0.8794337646904119	0.8869257487710694	0.4649259620000521
15	10	eom	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.4196800909994636
15	10	leaf	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.41856977399947937
20	1	eom	0.0	4	3946	0.7880966646694627	35	104	818	0.9071369246022705	0.7838682470626007	0.409808205000445
20	1	leaf	0.0	7	4773	0.9532654284002396	23	35	44	0.9116915806160353	0.9002849583817312	0.40632797699981893
20	2	eom	0.0	4	3946	0.7880966646694627	35	104	818	0.9071369246022705	0.7838682470626007	0.41416124700117507
20	2	leaf	0.0	7	4773	0.9532654284002396	23	35	44	0.9116915806160353	0.9002849583817312	0.415103868001097
20	5	eom	0.0	3	4035	0.8058717795086878	25	130	817	0.9140580994806415	0.764678682294852	0.41712329700021655
20	5	leaf	0.0	3	4035	0.8058717795086878	25	130	817	0.9140580994806415	0.764678682294852	0.4030144680000376
20	10	eom	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.42845611899974756
20	10	leaf	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.41510717699929955
30	1	eom	0.0	4	3946	0.7880966646694627	35	104	818	0.9071369246022705	0.7838682470626007	0.4322880649997387
30	1	leaf	0.0	5	4689	0.9364889155182744	35	38	164	0.8753821137389984	0.8781087233489258	0.41071124599875475
30	2	eom	0.0	4	3946	0.7880966646694627	35	104	818	0.9071369246022705	0.7838682470626007	0.42885938700055704
30	2	leaf	0.0	5	4689	0.9364889155182744	35	38	164	0.8753821137389984	0.8781087233489258	0.4313508049999655
30	5	eom	0.0	2	4060	0.8108647892949871	130	473	817	0.9149949807090366	0.7028059401882251	0.4440198819993384
30	5	leaf	0.0	2	4060	0.8108647892949871	130	473	817	0.9149949807090366	0.7028059401882251	0.4588334029995167
30	10	eom	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.4429236830001173
30	10	leaf	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.43354596399876755
50	1	eom	0.0	2	4025	0.8038745755941682	164	491	818	0.9114922002462607	0.7105994227500578	0.4235170560004917
50	1	leaf	0.0	2	4025	0.8038745755941682	164	491	818	0.9114922002462607	0.7105994227500578	0.42686144600156695
50	2	eom	0.0	2	4025	0.8038745755941682	164	491	818	0.9114922002462607	0.7105994227500578	0.42348919500000193
50	2	leaf	0.0	2	4025	0.8038745755941682	164	491	818	0.9114922002462607	0.7105994227500578	0.43460628499997256
50	5	eom	0.0	2	4060	0.8108647892949871	130	473	817	0.9149949807090366	0.7028059401882251	0.4190172749986232
50	5	leaf	0.0	2	4060	0.8108647892949871	130	473	817	0.9149949807090366	0.7028059401882251	0.43897085299977334
50	10	eom	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.4233781680013635
50	10	leaf	0.0	2	4022	0.8032754144198123	157	492	828	0.9111673184681942	0.7108734550215502	0.45850669699939317
