min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	92	3192	0.6375074895146795	5	8	830	0.8735539126490183	0.8449336323779354	0.4033184829986567
5	1	leaf	0.0	115	3895	0.7779109247054125	5	8	30	0.8627781925376018	0.8644373216082962	0.38089404000129434
5	5	eom	0.0	15	3242	0.6474935090872778	5	8	829	0.8332069841509855	0.7791677518217293	0.3627281530007167
5	5	leaf	0.0	32	4611	0.920910724985021	5	8	30	0.868177194217667	0.8346392014857963	0.37058255600095436
10	1	eom	0.0	25	3324	0.6638705811863391	10	18	830	0.8624728066775088	0.8483815202953247	0.4062438299988571
10	1	leaf	0.0	38	4303	0.859396844417815	10	15	60	0.8510912888050186	0.8742293370788268	0.3608046479985205
10	5	eom	0.0	9	3623	0.7235869782304774	18	30	829	0.8735294884905401	0.7670913076319927	0.34931489800146664
10	5	leaf	0.0	14	4582	0.9151188336329139	18	24	91	0.8478484886221797	0.8314380936697283	0.35043549799956963
20	1	eom	0.0	12	3411	0.6812462552426602	20	51	830	0.8605419527994681	0.8015778121135266	0.36078219699993497
20	1	leaf	0.0	17	4315	0.8617934891152387	20	27	113	0.8283053909274835	0.8598492259138465	0.3565951460004726
20	5	eom	0.0	8	3641	0.7271819452766127	20	60	829	0.8743706749557117	0.7782631832903967	0.3635439370009408
20	5	leaf	0.0	10	4350	0.8687837028160575	20	30	261	0.8698891132183142	0.8313385682302746	0.3349736829986796
